PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,39,oxfxkhrfglvylyrvszfrirkhlyvoabzvbezmismytdkhuoioddrxv0,male,32.1770083607216,23,48,mgp,2.703015659954444,o,z
1,1,28,vmnhpohtknsblsozfyyisclmliermrkqklckmrhqkczplotujdqan1,female,19.107056845118255,55,96,dln,65.03798539694499,s,o
2,1,24,gedtrqhylwciizgubyvetlfhwkwjttsxtzzfznpytmyvlzaohabwp2,female,70.84797727220517,12,18,dxt,86.08914030954824,z,w
3,0,18,nwlpekvhklwarmlwpwucckeetmrqpggqjnyjvcjoyeuaknlcfhxrd3,male,10.491998334576403,86,45,tcy,41.92558538959978,h,q
4,1,67,pcqtssksdvrhkofltkkjdlagtwzvbmjtldjxiuxijnppebfkatgdq4,female,5.016467970176086,86,58,yfu,89.11852895031926,n,m
5,1,44,dgjflrxlduxooqdvglgxuxcabwvzenihywruifbwsklhkvhzmwwtz5,male,70.62399301171214,99,61,apv,37.01103077551138,x,o
6,1,83,nzkduurtzfbmzhfucqnihbbbjxeygbsyuxzkpyydsvguvxzaodvfh6,female,97.30207026687584,68,33,wkj,35.25371225948596,t,v
7,1,45,yqllmcwfroforjomcdammmtarcstevyfrgpbpjwnrmvwnspcljsiw7,female,86.50976453033088,12,2,fsh,99.61445843423101,c,u
8,1,54,tpekrgwmiiimfscfzfekrlriydqlzspzdwehvvdylxpnpblxfeafl8,male,58.75285206712595,33,14,tjw,0.23392687146618352,t,k
9,1,0,nhilboglkwzasigwldueeruptijsrhytdjpqxhvdhiffbxogribcq9,male,32.767676726874214,9,80,uyh,68.6614465743831,o,r
10,1,10,clkueoyuhfosoptaxzgjyblxgiemdfmsabunqlvonidjrflnjnnqy10,female,85.55811009509003,83,71,jzj,74.7597259028518,u,e
11,0,67,rwznhrelpzighvxylfruxyxxzjagthsgdfyjfqgzlruhvskgehpnd11,female,75.20673779380945,44,70,fbh,95.98761069929847,q,k
12,0,6,glhlqwesltcqjfirqmzfzsmbkdqgahzdyuemvrwipgkbeennjigmc12,male,82.1679614494509,38,30,tun,70.41961168049657,w,e
13,1,91,diqfixvwfxelcggymrqfakrmekbjqntjmmtlqysfoesesparflmfi13,female,29.06017577746779,30,14,xvs,19.051789072631664,v,z
14,0,99,oqqkfxpdgqsqkpvbxkmtctsthhbmumwhmqqgenumvbsgycoznzfnv14,female,18.099513150344993,42,7,ifx,64.31305515613349,o,n
15,0,57,lyfzrzmugpjkiqfgqgqgxbpbvoaweuuhcroejiuuxqhlknypzjfcg15,male,82.33566288056741,44,11,wml,21.11431478934446,g,n
16,0,70,jnfgvdlklotlqdurqkzjdztpegvhrvxmgllwolgnnriesqcilptxp16,female,99.2318036272308,72,0,elf,6.935966326109422,v,n
17,0,19,noosonbeukuseixjonmoinjomfnlmjryipwamqstmsrlpzvwrmihl17,male,39.11722760738666,29,53,xua,93.28147694322635,k,h
18,0,34,hdujwjwulrsqahwslzmniisrkmclxgoowslbofgzpmjdjucbgoqsn18,female,4.442207947110555,41,16,ksn,50.16287337190442,n,p
19,1,50,wodxfnkswgklbjqprttbtedjjnvgykzlffiupovadbogywdefisjd19,female,44.41036743041615,19,13,yit,7.1190094505221175,e,d
20,0,20,cjnrrkinkgkdpscekhsmuuzlmrftheksaljsnsmjwizbrrpqrhqwf20,male,95.95664176191322,81,77,fbo,49.89574610973838,k,d
21,1,43,jomyvwyonbefmjmafwjbrtbkgqhglujstkggcrkhiieczyqldafxh21,male,86.42903695544862,85,23,jzy,90.55831261424143,x,c
22,1,0,mulmyspzvmmprhpxbfaxniuvsqnigfdimznqxskixwqvskpgyepad22,female,61.55175251529194,25,0,hfm,88.6994039464047,q,d
23,0,100,uppbysijihpjtwdxoxcxlyudoackfesxkdhdbufdocrokteegjjdh23,female,27.736693493556896,79,5,hdw,94.98210319136615,d,s
24,0,66,menmakoaaaulffzskqxrljjmahwnxzqlzupmyfcmlpvermmqcfucx24,male,5.991800853632756,87,47,dxr,92.21426123462864,o,g
25,1,97,tvpgejypakqcwrofzfcdltndyfzvbihhbjpnazewaltdeprkqugyc25,female,28.504227807433537,0,84,rrk,0.6639648166113843,d,q
26,1,12,rsbabgeepvztgkqcoooahxbezipadpukwbddcuekoujfytwfdtxqz26,female,3.8741729794126267,40,26,twt,22.95146873029813,h,x
27,1,15,hkmeqmpklvoktlghatcaxahsacgmaidndgggucvpuosqzlbkfpznv27,female,62.85200636142017,91,77,lqm,10.474468024119854,f,r
28,1,33,yezanmgrrdatrdnlrexpkguvgqezdhaaidgfhtnsyrdipldmlvrsk28,female,11.251032712089426,92,39,yan,91.2760357034974,r,k
29,0,23,lpgdsvdvbzkbvzkyjntcsuhiyvfotxgaivpfdoijzxehbtnfijvyh29,female,62.11643144059181,89,14,kim,31.769774323009226,j,z
30,1,12,dpfjwvldsdojrpwpjthhflmoocbkxfoathppbairxnxowafvwfndn30,male,11.583166294339398,32,96,bho,5.695808277547066,k,y
31,0,5,didjldlltwkkemcfpmrpyjyvidoqgtbplhidxlwhjwznghifgdhsl31,female,25.389674032291186,43,93,djo,88.97697729737848,q,o
32,1,38,xystrylbqokkqpvbkvatypqijuwlzarhcgdnuullfqqnigmwkeijp32,male,91.58528629101967,48,29,hvq,32.0334832015036,r,k
33,0,1,ahfgtpzmausrhbmqshiiqowovuheqgkugeqcpypophpyokweujiul33,male,45.53794946597963,59,76,rzn,52.617108095644596,o,k
34,1,10,vdumccxnzvspbeeryzlmcvysjeljgrspmgsqlagzgctmsajwrkees34,male,31.91546457460245,7,65,kcq,96.96300267187172,l,h
35,1,6,fokstcdisehkdponddgcfyxddhscqhknqzfuiwulbgfikhespcjar35,male,61.16747626766771,98,74,gwg,99.15471615288665,a,c
36,0,6,uzetavyynxsfbvcbncokjwhmegrvxfunnisjwbihmjrrrzxziztkn36,male,79.16751464985441,31,1,ppt,18.026913496430062,d,p
37,1,38,vbnbalxgcogerqmupuhqqxzagjpegkxpggwqhfscnuoauxtmmywwm37,female,57.03891958073941,39,44,yhm,34.623456594284065,l,f
38,1,75,fcwgvqcbwnoruclnrvcnbfpsggsqefhdwvvzcpafbdahrjdmwfwjw38,male,54.83897963733847,90,44,ftv,36.50673227827747,i,w
39,0,85,blfkehwtstgvxnlxgwvlivdxchczofqsirysoygnydmgpealggtuy39,male,66.50182121056127,57,46,omt,28.22897719176597,m,p
40,0,50,gqadfphqzzliabzuoqcuisslxgtkcgvuddzheevjebrkxzqanvxqf40,female,26.03824200249656,84,93,rgp,57.94575063153561,i,m
41,1,51,cajhvqotfmptskcqyldjzjwkujteopbappnjrkkrhchqmmkbiallk41,male,87.56055717164062,79,16,thq,59.69647951165038,q,l
42,0,2,tvpbslruhjyeulwvoboapbatffwjpsjvhvjibnviznruasqzhozti42,female,51.47895184942672,81,1,moa,48.62079682298901,d,d
43,1,76,hxnibzyjqlhhgvyfleajriqdxdhfdidbdldomahsawwpxhbcnyvrx43,male,89.79832232759429,78,51,ley,50.445745055305935,a,g
44,1,29,dbgycxizgjyfqqzeogaojepspcehrljpwuwkywzsxeargelaqckhg44,male,86.12406002382504,83,80,ofn,29.497476990995665,m,e
45,1,9,whxajlmurejpfjqgeerlhlnlkabmpckkmkkiohpnjimqqlamcwymt45,female,85.03999993295204,78,75,yly,20.501837596331573,b,m
46,1,72,nhtdvvuikjcolivxvuephyyvwgtlgafwjvulldavrfpbbilhzltfs46,male,0.9019866903364648,70,39,gdx,46.30403671398088,t,l
47,1,5,wptnieyqykuqvvcunyylunpbyyidtmsmkjvoxnfnihjoqshdkvrfb47,female,45.21597134931016,10,62,cid,32.745301719560274,k,i
48,0,53,rcudblzbcyrhisjwvpbjgmpzsvwnbovieowvnwoasfwsjbuiithsz48,male,94.62159091757198,39,59,ppt,20.448798312530336,n,f
49,1,65,rklbbgtgfecxiiqhiyxuwjgyothyusdauyameswcssohlkzgjwacr49,female,51.480967857933905,16,73,tip,2.5546390812360764,e,e
50,0,43,kugdimhvzalcbqlfolzxkteuhbxxyzfwrqqasdbguaiyglevfhxzt50,female,14.463916850467772,70,77,eee,56.51579946275077,j,b
51,1,79,kffekzmqzfnlwkhayqxyyzuoaodwpideuoertyydsbmuhwmypabnb51,female,19.841470257150483,85,71,yvk,37.62268193841432,o,r
52,1,62,dhyegcngpzqqsjzapvqkehxrignfrfecwrbhnzferpvhisuzhcisr52,female,34.714559909708285,21,78,qsq,36.94763202158805,a,o
53,1,76,ihbdvpyrtzbkshlfiftcveybaynpyeaesxuefowptmhazuufkylvg53,male,30.009244497502063,6,70,eml,72.23584281261518,e,d
54,1,47,bunpplvdjwyxexyrufvotidfdugbzjmxwfczotfydpbzwkhirzhth54,male,70.62567678105411,15,69,pdw,89.45424209479962,k,w
55,0,76,jubrykmpcayvftarxoueemmepfwynuuhoxufhepjfzbuabtjcqxsz55,male,86.87809437828234,65,23,amm,40.27423008886518,p,u
56,1,21,kqrirrfjgmgpybofjfglzqtxszqjkjjhxwklhawacwpipywtocdbk56,male,81.27517769449346,25,78,grz,15.104120990316394,x,a
57,0,18,eaysgxmpxyqsnbwdghzuqycktcyagngzpfnjxtwynvncyjbnuazoe57,female,73.15537315427635,16,88,cbp,66.65150583555412,i,j
58,0,89,hqjmreqqzqdiwcazgvwzreeczlkclmujdtgkqizfpfsaeafsntcpz58,female,87.22567047369229,63,37,pfx,21.04934078691344,p,m
59,1,13,ijagajrdfrsnlavgmjrmsgpwhafehnleggigqcqayearqivsyqvka59,female,73.64351118301184,65,19,uhj,84.08305851528706,l,j
60,1,94,ifgknzuunceqoybhlnebmqzfbibwaackqxchfnuahzybdccvxrfdz60,female,47.35492766518755,52,90,hyx,73.60566617634483,b,h
