PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,3.0,jyyrcvvyxnkpffggbixlkvfjvrzscikablcrl0,male,,0.0,0.0,okc,21.78083989815595,qv,e
1,0,2.0,pfxrflczizlhzmwuazwbvtoltjrecgvfsqgpp1,male,47.9558771010927,0.0,0.0,mazjwwfmdmkfecgwb,25.863480819311608,ag,c
2,0,1.0,gjnzubqovbhttouvodizrijwbdadmwuihoqnf2,female,,0.0,0.0,nrzcbuhafy,15.812156813890379,bh,t
3,0,3.0,sngfmwbeoofmlgildrpqmpprljbwgxfldrrqy3,male,,0.0,0.0,vzhzt,8.826250344676694,svv,i
4,0,3.0,trvasrpeemboaqcluirwtscixwzjnypoyiwqg4,female,27.55036430093964,1.0,0.0,lacx,10.521454085174463,w,q
5,1,2.0,zzyrsfbjnobyfyyrhfgloyixfcuyppijsipfg5,female,23.413119964167375,1.0,2.0,fcrytc,44.39990748158679,zfdm,l
6,0,2.0,qfmwveownrpqiznvqcjjkgdyyoverznukmxkr6,male,27.267434882245922,0.0,0.0,kmgmnm,11.106626394117422,reuwya,y
7,1,1.0,hywhvzzsgxbiezqtoyvzizppaytvxlswczita7,female,56.87267759438984,1.0,0.0,nbixes,65.31096882368836,utk,d
8,0,1.0,wevhyojdkwyweuumtpuoexodzsxgkuomsyiwy8,male,38.41498262192796,0.0,1.0,ozxfxbe,145.83888173800827,cj,n
9,1,3.0,isynsusopjnsljipbznwazajastztdzaesdzi9,female,,0.0,0.0,yydouw,16.907663669996513,tv,k
10,0,3.0,ozgexduwysabwjpssipqvosmppshxovhozsep10,male,10.064615458592595,4.0,2.0,thibvoupqixd,37.80421474843497,mq,x
11,0,3.0,bgbwmjxxhpojjeytdvfkgwjwikvszlajyekbc11,male,24.094206641392,0.0,0.0,bqkcsstabf,13.749558402961666,jlttoy,l
12,0,2.0,cwqngjzmtjcwgjyvxexhrijuybprfhnccgyse12,male,44.880683647967864,1.0,0.0,adeujs,16.51894092849057,zea,w
13,0,1.0,nmvnnrkicycjfgmfltggxbkosyjwictsdikat13,male,48.843868338523954,1.0,0.0,hzkgbz,77.19385075696066,aqqfgj,z
14,0,3.0,wvykjsqklxvwxnzooaijawxenvpibombyiedp14,male,26.915610917725665,0.0,0.0,sukrqi,0.5935819179546298,rk,c
15,0,3.0,gpzosfhjzlzrbxntunhptzttclvezzszuaxkr15,male,16.96230172071289,0.0,0.0,ckbyuj,11.924522460465175,kz,b
16,0,3.0,lymvsifffrkpauptutnyksjmniwxcdgorjrux16,male,40.64790356467545,0.0,0.0,iqnipo,18.119929348920163,zj,z
17,1,1.0,jhovacrsdezwpibfrodazqfeytqymxvnmwxxx17,male,42.215110402176094,0.0,0.0,affa,75.59391426015003,fhxzbn,r
18,0,3.0,wsyzmmgolnapqizbjllxkvynbmjndcfxklvlc18,female,3.589914004484412,4.0,2.0,athx,39.101171440989525,il,y
19,1,1.0,globkeozxnjyhmdhhuyybsqjonkbgigivryrx19,male,50.57547672748355,1.0,0.0,gmdeuj,68.49921152600774,kg,u
20,1,1.0,ploysyxcfoxpzhsygwurciatgfzdgukbhzvnf20,male,19.339166057962352,1.0,0.0,gosi,228.52284826931904,nz,e
21,0,3.0,lwzxwvejaufjrpvtvhqlzygglrmvujhxwaest21,male,37.28845319733807,1.0,1.0,xdgdgbvnbh,28.165262933501364,ysjhsdtogg,n
22,1,2.0,nkgltjgflfpzsprpfhmeqthaveskvhuckxfmm22,female,,0.0,0.0,bkdbpi,3.2645310476458342,yl,q
23,0,1.0,ajadvdvwkfovvbwmuhkkrmbovsogbwdgwquvj23,male,29.406867112623562,1.0,0.0,oxzw,37.82611327587761,pf,r
24,1,3.0,orbdmysaffrivtzinvicnfrsbgyljmcithzrp24,male,2.125811790449736,0.0,1.0,lewwxapss,14.529664432040079,exw,j
25,0,3.0,gbciboydfnahpckudgptnbiwewbqocbscpvfs25,female,12.320583731493272,4.0,2.0,qguajwf,33.40073707130949,cc,j
26,1,3.0,cvtffrfeqlbktirlcdkxcsdqngffrgniqgocv26,male,31.129596742711023,0.0,1.0,xhxd,9.895103081483274,nu,w
27,1,1.0,btxnxhzzizmzguchlmqxtzdpszpkxvirncemq27,female,,0.0,0.0,ugyvbr,124.7413068021791,jawl,i
28,0,2.0,mpbdosvbjriouzhxfygbkcrgkjnegtnofqscm28,male,28.05914449604855,0.0,0.0,beqwyk,13.609814900744865,vul,w
29,1,3.0,rdbbsgjnxjdnnrkzqgzzoalpbyfpifqdqhehg29,male,46.32918654337517,0.0,0.0,fdelkg,14.681555759013017,pctm,j
30,0,3.0,sepzlhxondhtrijiqmyjifzteoyxttxzhdhdq30,male,,0.0,0.0,hqyaln,23.779154468342092,dj,q
31,1,1.0,fkqglsdyrsupjgcxthdttnhoftoxicrkknyag31,male,30.47959364940259,0.0,1.0,lkmrwk,40.861206077996215,enkpfscbwg,y
32,1,3.0,flxkarigpoycziwmqstkwyyqijmvorqexshbf32,female,20.275569444856554,1.0,0.0,xuqdlt,11.836113735228206,t,l
33,0,3.0,nvmdosnyxxpkpqkewakiinkyyswbjgdzncwpq33,male,,0.0,0.0,medhkj,4.565742247885418,t,b
34,0,3.0,sosryvaxrljdqtjtdaqjkiozfpyubuyghmkit34,male,,0.0,0.0,syjowtptt,4.8945863912500505,sx,i
35,0,3.0,bsgqofbeglokulhwkfuocugkmsyedmpdqpthk35,male,33.00796334884669,1.0,0.0,rrlfit,12.944472436640797,rgr,u
36,0,3.0,deqrmmfqkjophgwksxquygkrmyzwlgkrvbhvw36,male,35.365927349505725,0.0,0.0,eeucbe,1.1607704892184443,lck,c
37,1,3.0,nhkvaojyskliymsfstczeltxuzvvcnpzkmaut37,female,15.506433505809705,1.0,0.0,gtujwj,13.040242764929125,gy,d
38,0,1.0,cmxbgnyrvrhtssnwmkdclyistxuapaogkmpon38,male,51.529226936292545,1.0,1.0,mgxfho,125.02883660758653,fvl,h
39,0,1.0,nogtoalzpeqnljbogdewlddnowlskgaabivbp39,female,47.173459729974184,0.0,1.0,vqlt,35.56641175987251,oon,h
40,0,3.0,osdvdykehoclhoietkzfdxrwodiikvogougqr40,male,32.87007007937223,0.0,0.0,ygbcltlvpf,21.479461777839944,cd,k
41,0,3.0,smtcxyglssjplofqsrilyntypptsgquwifiqm41,male,26.924626848212146,1.0,0.0,ppsrov,19.251646741320418,nl,p
42,0,1.0,wixqkojeeahmowgulrenjucrdmpiomnubznhc42,female,47.8644149714686,0.0,0.0,zsgc,46.45569216501922,ixbdiu,h
43,0,3.0,keztcykueyogxcwduwpzyyjfnnbzgniiehxle43,male,,0.0,0.0,ywtw,8.658779463666658,ja,j
44,1,1.0,rcyqonyajlzpxjdlhrkqcctujluueewgvyigb44,female,34.49331162178152,0.0,0.0,pzefmgm,41.23631251583852,vg,n
45,0,2.0,rftrdxzfcaolmxfgpzshkhygoldbmspgmcwza45,male,25.730186269803166,0.0,2.0,nvyhke,42.340142227138955,qf,x
46,0,3.0,hkdqshpujqecalyfkzdajzeyyebalcqdbammd46,male,24.093140671310675,0.0,0.0,owxyjy,2.5455498343023297,dj,c
47,1,2.0,dzwvfhaewsnghdwmqcbeopxptvititczgsofk47,male,38.46560103017506,0.0,0.0,ranqgzatgzhuf,4.358979089159947,vkwghuqpwr,r
48,1,3.0,dbgvyokxoswcxhqdrifxbnpfwvhkvttdrmpgg48,female,33.889901213856724,1.0,0.0,jbmnsnujf,17.211168357450823,rd,m
49,0,2.0,ocvdttbhjxvaqvhztszjihmsknmagciyovuma49,male,,0.0,0.0,qpem,18.467471627981247,pvcwmu,q
50,0,3.0,ikufkwwvespuyfyzsscrptdwqrooifelffoej50,male,26.737637188785826,0.0,0.0,uqcvay,1.0399434762438406,rj,z
51,1,2.0,oqyvzjquandcknqcgqvyugrtussftrbpqnikf51,male,43.40961344117655,0.0,1.0,mwxpaeykjc,12.430550850151183,rb,q
52,0,1.0,tegygtrlzakvbaapachbrbdkuttjfpclrrepz52,female,21.22341401855172,0.0,1.0,txkwyktevogp,242.83571250918155,kfx,a
53,1,3.0,badycgacowcmyreadxfxdhgjqyttujbuhavne53,female,,0.0,0.0,aqklncerc,10.872640119821584,ky,g
54,0,3.0,bhdkulvqkaiinuedccfsvjjqkdhxbzuhwhpco54,male,20.377438639188433,0.0,0.0,uaqnaf,19.548823488367315,ot,o
55,1,3.0,pomtxtmmwcoeovvqsarrkjembbpciqnvlzrsp55,female,14.462268595454034,0.0,1.0,vmkpmxa,24.865772610536176,ow,t
56,1,2.0,zgfkjcyxguugfrfvqmwusphehrqlgbsolqxgt56,female,55.892661174481646,0.0,0.0,kjiycy,26.41818264285366,gpifmyp,m
57,1,3.0,drresrcdrrtoshkiiycovofeehwvzeomndnid57,female,,2.0,2.0,vddcwr,23.813319445001316,ry,l
58,1,3.0,jhyskrdlklzttvdeuvjrmhnrnbwvlujlhpfvz58,female,27.000746433198106,0.0,0.0,fytwfk,18.86391923706991,aa,x
59,1,3.0,ygjjbmbyhnedldjdgpwxrgzgrhvlzihmnkjmk59,male,34.7623829325173,0.0,0.0,ygqmmi,9.792127535978171,lj,z
60,0,2.0,efafzzjlgyekzvpazcolbbihywzivberdmsxq60,male,34.750076471862606,0.0,0.0,qwlkec,6.03053923409264,mibq,n
61,1,3.0,zpybtukjnjbkjksmacfqokegmxvexibpnlsjq61,female,2.3975220650893743,1.0,1.0,ncmotj,15.053255856083384,za,s
62,1,2.0,idnhmjgirfczkdmkmyzondjsuvhfnxuorycoe62,female,35.160327774275785,0.0,0.0,pyyzki,39.31963219710775,ark,u
63,0,2.0,yvcrbkczvreoaelyakeoaqcrdzinjrvfvfuvv63,male,17.327544676894192,0.0,2.0,rzmpojhpmckcm,24.299280478453092,rgwk,g
64,1,3.0,mwldinkyebzyoegskpihambqblhllcuazebac64,female,,0.0,0.0,qmsvas,24.96352820352047,ae,r
65,0,3.0,qyyxvznqtfmclrcywcfxitgyyexyuhjmwsprb65,male,,0.0,0.0,cvrszx,19.94850076308901,cr,n
66,1,3.0,xornnzcnbryyrzvlvqpnukegiqdotoddbjftc66,female,3.9682902162688594,4.0,2.0,ozdsjkt,48.1068404266199,fo,p
67,0,3.0,sohbknkjocuqfkgmmugplwwwrcpywtlnjkhqf67,male,37.32312669522076,0.0,0.0,vhtzof,17.72458218994681,rgm,w
68,1,3.0,svhvaacslfgejhsmnnzhcpjnulyppvlxgwars68,male,32.03293620756551,1.0,0.0,kxmume,71.35290889096535,ebt,m
69,0,2.0,klqiicgiaeocatheuzdobawrblkysrmcfpxso69,male,27.98053040921769,0.0,0.0,uynrrw,13.66741082838011,mal,a
70,1,1.0,kvuiftuetbfwywfpuxqpmjkedkopacftoaadm70,male,44.49906168118511,1.0,1.0,pcigdp,171.65336422619555,hd,j
71,0,3.0,zdlhpunpnhoiwoaoqdqvtvjzelmuxvcguwyfp71,male,2.2033070312512133,0.0,1.0,lptjq,11.192620666615731,jx,b
72,1,1.0,oczmejnlasogeihabuyqiabqxhfbqyjohqkze72,female,47.14952037776466,1.0,1.0,pxcz,177.30833079593523,fztw,c
73,0,3.0,aqukjserwztizzldrevptcsjyfxuhcqtvhdfg73,male,26.083173550530617,0.0,0.0,fpffkjtsq,23.453688788664508,ogyusp,r
74,0,1.0,kcuowzgabyttfbvieftgzzwfguxzrxnsaurfg74,male,26.3189092198241,1.0,1.0,mjhidizcz,51.146210326954126,qr,v
75,1,3.0,tafrqvjulcbbhwukmjenxxqixqcnidwxfdyme75,female,,2.0,0.0,ontuco,6.564530038387789,wh,q
76,0,3.0,udxckerddtsskbhtteolfvfjogogkrnxcwsqx76,male,47.39935244799577,1.0,0.0,iect,5.559517325964453,pfa,c
77,1,3.0,qcivdljptuuwfzhymlpplxkzavxhosnndbrml77,female,19.141163808417154,0.0,0.0,fbgcna,15.793225443410606,jo,y
78,0,3.0,lcodibipnwncuixitmysqvqgexndprmlbvyor78,male,32.084898802214596,0.0,0.0,vqcwrytb,9.468489010591924,su,b
79,0,2.0,enkffcuwcdwmdugrwmiskrbjyzwmncuaiikvv79,male,68.71748977125237,0.0,0.0,euwj,10.162514506218196,hutfnqs,o
80,0,3.0,xrckkgwxjscxfpzvonlnupujiqgiotyqfshal80,male,,0.0,0.0,sglb,19.782892846313324,bv,a
81,1,3.0,lizkggzjehtfgzqthvygmyrrtnnamtxljishx81,male,31.947842399735375,0.0,0.0,qlzcpa,17.318741808254263,boy,o
82,1,3.0,dhpxmpxlswmqdirlgcablxbyxscdaojlzxuni82,male,4.11245729872604,1.0,2.0,ticb,21.871316226683472,yrdn,j
83,0,2.0,sqeoxlxbmshvmjjqsedjcwkmigvffprghbhfg83,male,30.79866602685064,1.0,1.0,jtgacn,46.32231962362374,pr,i
84,0,3.0,oiinyqvvlaoabxwvkypazxhgtijsywlofqahi84,male,39.97281510181503,0.0,0.0,tmnmlt,12.547862367587081,vra,c
85,0,3.0,bampjtzxbqcfzrxmshmngjsrydyejeqifcwxi85,male,21.32043595220659,0.0,0.0,pbunhv,2.6751620220568095,gb,u
86,0,3.0,nafmskctoprageccnzjypsolkpanokskxzcnd86,male,19.844631600663114,0.0,0.0,degbfm,10.814583583856823,mq,e
87,1,3.0,lovuwpbybaarfujfgrgekcosykusesvdqjrtn87,male,27.3716741066886,1.0,0.0,tvsnfvgaargjplyo,20.220419740847785,jd,i
88,1,3.0,bznfjvymcjpdamqcugrwoxdaanwaoioirjzbb88,female,34.67795252984885,0.0,0.0,jpluw,9.402691665676448,os,q
89,1,1.0,cpvocqbqhqndekgkmbmtmdnwxxlbjozkomyoo89,female,60.465613764454645,1.0,0.0,mico,98.43106927542057,wldwdo,x
90,1,3.0,siwoddnyvxhibekqqobuzadafjvcuxnrkkmgm90,female,0.5399045934954985,0.0,1.0,vepzvq,10.224084793347824,vk,w
91,0,3.0,kbapqpzwtrimmuxmnstllkgwzyemowsphqmyr91,male,36.2746476225711,0.0,0.0,jyewzx,46.56868047603892,xw,l
92,0,3.0,ghjmurfxzivrefzihlxqiubzojzegbuainolf92,male,33.2489705105863,0.0,0.0,mer,19.445825638666573,gw,j
93,1,2.0,ynkccjabnohbsxjphdpzienaonofueluwjexy93,female,39.26440023916392,0.0,5.0,jwtpb,42.81994894047035,k,w
94,0,1.0,qkilbintwuucmrhfipdsxoleasfmdvgsyulkl94,female,37.7693810038887,0.0,0.0,bjiipc,0.1811988141117126,l,y
95,0,1.0,umuvyoapkvwswjshinabzwzytylajdrfjwqmj95,male,39.31650251939259,0.0,0.0,lkeq,23.714224229953707,ij,j
96,0,3.0,vunygxdfgdefzeypbwbhoylfdzaeaygealytu96,male,30.762431471416143,0.0,0.0,abvoildm,9.400179850568879,opvzzu,x
97,1,2.0,rkubdokeqdwfyetwbigikepjgxultuxkiintt97,female,21.863873096605822,0.0,2.0,zhdwrqzmfmddo,2.368751385832481,qf,e
98,0,3.0,ehgyswqlovotxzmmoclkqjnhvpiznexnzohge98,male,,8.0,0.0,wdbhkoo,51.557882066850084,as,p
99,1,2.0,iznpaybpkznddksychxruoeaqgyydtchyxcsf99,female,55.64910343594046,0.0,0.0,tijtfj,22.053515382720636,nb,h
100,1,2.0,earsigwqackatmchdildwqvcyezirgdyqttkg100,male,0.5728621954062608,1.0,1.0,uyojqbhdup,36.336913017258766,co,q
101,1,3.0,docccuiqvciltselpuuadlvzrrkvhupckpqdo101,female,,0.0,0.0,qwffel,15.023573011009303,pq,i
102,1,2.0,lfcctzfibhvecvktmbwujftrnefgvrojirqen102,female,26.145480388037015,1.0,0.0,texv,50.840761134474846,hgo,n
103,1,1.0,jqcevpfovqsdkamhqyaxpzlygmjbilansngsl103,female,,1.0,0.0,lpqomanidjlwr,152.03406455677373,hl,i
104,0,3.0,mpvjurfaxommdooambnmpmxzkczhyoimbtfxw104,male,27.595982458444016,2.0,0.0,ornzhcj,16.13446872103635,av,i
105,1,2.0,phgewxaxdhuyswsglbghvufsiguzcpasaudtw105,female,36.73559084874994,0.0,0.0,xysp,18.73877576251138,qnnx,q
106,0,1.0,pumqhoefhzcyuikblahpovijakxlugpaicqxh106,male,39.058030007254736,1.0,0.0,waquhonuudcsvplm,16.481136514814924,af,f
107,0,3.0,kfyqskovnugegighempjreznrgsfrtmiuazbm107,male,33.557572934961016,0.0,0.0,iyxpvq,10.741433813278576,punh,j
