PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,2,"Stankovic, Mr. Ivan",male,,0,0,35281,100.3543,D35,S
1,1,2,"Chaffee, Mr. Herbert Fuller",female,0.73,0,3,SCO/W 1585,132.61,C125,
2,0,1,"Greenfield, Mr. William Bertram",female,,0,0,110564,31.1203,B57 B59 B63 B66,S
3,0,1,"Christy, Miss. Julie Rachel",female,34.03,0,0,29011,9.6355,,S
4,1,1,"Sagesser, Mlle. Emma",female,30.58,0,0,110413,233.9076,B41,S
5,1,3,"Allum, Mr. Owen George",female,,0,0,367230,6.8052,,S
6,0,1,"Icard, Miss. Amelie",female,29.3,0,0,F.C.C. 13529,15.8338,,S
7,0,3,"Parr, Mr. William Henry Marsh",male,31.04,0,0,11774,227.903,D33,Q
8,0,2,"Stone, Mrs. George Nelson (Martha Evelyn)",male,27.55,0,0,371110,33.7336,,Q
9,0,1,"Radeff, Mr. Alexander",female,22.15,0,0,113572,28.2762,,S
10,0,3,"Bishop, Mrs. Dickinson H (Helen Walton)",female,,3,0,347076,32.5167,C123,S
11,1,2,"Staneff, Mr. Ivan",female,,0,1,112053,26.939,,S
12,1,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",male,29.31,0,0,29104,2.5715,,S
13,1,2,"Aubart, Mme. Leontine Pauline",female,,1,1,110465,12.1227,A5,C
14,0,2,"Berglund, Mr. Karl Ivar Sven",female,,0,0,113572,13.0684,,S
15,0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,20.1,0,0,C.A. 29395,10.1394,,S
16,1,2,"Kenyon, Mrs. Frederick R (Marion)",male,,0,0,2678,5.0248,,S
17,0,3,"Stone, Mrs. George Nelson (Martha Evelyn)",male,23.18,0,0,11967,11.7405,,Q
18,0,1,"Stankovic, Mr. Ivan",female,,0,0,11967,86.0263,,S
19,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",male,,1,0,112277,10.9318,,S
20,1,2,"Blackwell, Mr. Stephen Weart",female,13.68,0,0,244361,14.5366,,C
21,0,1,"Flynn, Mr. John Irwin (""Irving"")",male,,0,0,PC 17477,54.5263,,S
22,0,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",male,,4,0,PC 17758,138.0438,,S
23,1,3,"Pears, Mrs. Thomas (Edith Wearne)",male,,1,1,2689,169.3833,,S
24,1,3,"Pears, Mrs. Thomas (Edith Wearne)",female,34.63,0,0,S.C./A.4. 23567,78.8187,,C
25,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,38.42,0,0,S.O.C. 14879,217.4317,,C
26,1,3,"Svensson, Mr. Olof",female,,0,0,335677,31.8403,F4,C
27,0,1,"Young, Miss. Marie Grice",female,,0,0,2641,15.8689,,S
28,1,1,"Salonen, Mr. Johan Werner",female,,1,0,244373,11.1475,D,C
29,0,1,"Strandberg, Miss. Ida Sofia",female,28.55,0,0,54636,6.9123,B28,S
30,1,2,"Farthing, Mr. John",female,20.15,0,0,PP 9549,15.3443,F2,S
31,1,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",male,24.55,0,0,PC 17755,6.7961,,S
32,0,1,"Rice, Master. Eugene",male,,0,0,PC 17477,11.0672,,S
33,0,3,"Fahlstrom, Mr. Arne Jonas",female,20.64,0,0,364500,194.6827,G6,Q
34,1,1,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,,0,0,113787,294.2181,,S
35,0,1,"Andrews, Mr. Thomas Jr",male,26.04,1,0,248731,5.5377,,S
36,0,1,"Kirkland, Rev. Charles Leonard",male,58.88,0,0,330931,29.9379,,S
37,0,3,"Goodwin, Master. William Frederick",female,61.39,2,0,SC/Paris 2123,13.5455,,S
38,0,1,"Mannion, Miss. Margareth",female,32.5,0,0,113572,8.2492,,S
39,0,2,"Andersson, Miss. Ellis Anna Maria",male,31.14,0,0,9234,35.0821,,S
40,1,1,"Chapman, Mr. John Henry",male,53.21,0,0,29106,22.4416,,C
41,1,2,"Leyson, Mr. Robert William Norman",female,,1,0,233866,33.9739,,S
42,0,1,"Hendekovic, Mr. Ignjac",female,18.03,0,0,364851,4.9852,,S
43,0,3,"Holverson, Mr. Alexander Oskar",female,,0,0,SOTON/OQ 392090,9.2059,,S
44,1,3,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,30.24,0,0,PC 17593,62.5097,,S
45,0,1,"Ivanoff, Mr. Kanio",male,,0,0,113796,38.8814,,S
46,1,2,"Newsom, Miss. Helen Monypeny",male,,0,5,PC 17582,23.4248,C23 C25 C27,S
47,1,3,"Lemore, Mrs. (Amelia Milley)",female,,0,0,4135,49.3059,,S
48,1,2,"Minahan, Dr. William Edward",female,29.05,0,0,7534,23.4231,F2,C
49,1,1,"Isham, Miss. Ann Elizabeth",male,23.91,4,0,16988,47.236,,S
50,1,3,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,30.53,0,1,SC/Paris 2123,25.6977,,C
51,0,1,"Andersson, Mr. Anders Johan",male,51.08,0,0,350043,13.838,C52,C
52,0,3,"Jensen, Mr. Svend Lauritz",female,50.75,0,2,349206,28.3578,C78,S
53,0,1,"Aubart, Mme. Leontine Pauline",female,41.12,0,1,PC 17558,28.771,,S
54,0,1,"Osman, Mrs. Mara",female,,0,0,PC 17610,12.0171,,C
55,0,3,"Navratil, Master. Edmond Roger",female,18.82,0,2,250646,7.9473,B3,S
56,0,1,"Sunderland, Mr. Victor Francis",female,27.69,0,0,65304,14.6105,,S
57,0,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,19.68,0,0,4133,10.895,,S
58,1,3,"Fox, Mr. Stanley Hubert",female,,1,0,3101278,14.3928,C47,C
59,0,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",male,,0,1,382652,68.5922,,S
60,0,3,"Bonnell, Miss. Elizabeth",female,55.14,0,0,PC 17755,7.9096,,Q
61,0,2,"Graham, Mr. George Edward",male,21.9,1,2,4133,26.186,C46,S
62,0,1,"Daly, Mr. Eugene Patrick",female,35.27,1,0,36209,182.4839,,Q
63,1,1,"Ridsdale, Miss. Lucy",male,,1,0,CA 2144,10.1481,,S
64,0,3,"Nye, Mrs. (Elizabeth Ramell)",male,38.67,1,0,113572,16.0856,,C
65,0,3,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,49.01,0,0,2666,5.8932,,C
66,0,2,"Minahan, Miss. Daisy E",male,,1,0,PC 17755,63.3911,E8,Q
67,0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",male,,1,0,36568,8.7713,,S
68,0,3,"Harper, Rev. John",female,55.69,0,0,PC 17569,8.3464,,S
69,0,1,"Hays, Miss. Margaret Bechstein",male,17.84,1,0,349206,6.4893,,S
70,1,1,"Ford, Mrs. Edward (Margaret Ann Watson)",female,46.66,0,0,349213,23.5672,C62 C64,Q
71,0,2,"Banfield, Mr. Frederick James",male,15.98,1,0,24160,6.6094,,S
72,1,3,"Roebling, Mr. Washington Augustus II",male,,3,0,113786,51.9895,,S
73,0,1,"Jermyn, Miss. Annie",female,62.65,0,0,386525,29.5733,,S
74,0,1,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",female,22.18,0,0,345783,214.5756,,S
75,1,3,"Panula, Master. Urho Abraham",female,51.32,0,0,PC 17608,11.0241,A6,S
76,0,2,"White, Mr. Percival Wayland",female,24.98,0,0,29750,21.6943,,S
77,0,1,"Allum, Mr. Owen George",female,25.0,0,1,STON/O2. 3101283,9.8881,,C
78,1,2,"Mack, Mrs. (Mary)",female,3.55,1,0,350029,188.242,E121,S
79,0,3,"Icard, Miss. Amelie",female,56.0,0,0,F.C.C. 13529,23.7645,,S
80,0,2,"Millet, Mr. Francis Davis",female,45.68,0,0,PC 17582,32.0363,,S
81,0,2,"Tomlin, Mr. Ernest Portage",male,,0,0,383121,79.9554,,S
82,1,3,"Perreault, Miss. Anne",male,43.08,0,1,113781,31.8068,,S
83,0,3,"Palsson, Master. Gosta Leonard",female,40.19,0,0,13567,9.3472,,Q
84,1,1,"Jussila, Mr. Eiriik",female,32.58,0,0,17453,83.9428,C52,C
85,0,1,"Mockler, Miss. Helen Mary ""Ellie""",male,23.44,1,1,17453,14.1815,B4,S
86,0,1,"Adahl, Mr. Mauritz Nils Martin",male,,0,0,A/5. 3337,23.3905,E63,S
87,0,1,"Sage, Mr. George John Jr",female,,0,0,19950,201.201,,S
88,1,3,"Cohen, Mr. Gurshon ""Gus""",male,41.54,0,0,349222,19.7889,,S
89,1,1,"Burke, Mr. Jeremiah",male,26.95,0,0,693,14.6276,,C
90,0,2,"Harper, Mr. Henry Sleeper",female,40.49,0,0,2667,32.3051,,C
91,1,2,"Woolner, Mr. Hugh",male,14.64,0,0,C.A. 33112,12.0274,,C
92,0,2,"Karaic, Mr. Milan",male,,0,2,13509,32.9177,B102,C
93,1,3,"Banfield, Mr. Frederick James",male,21.74,0,0,110152,8.0005,,S
94,0,2,"McNamee, Mr. Neal",female,,0,0,364849,32.6756,,C
95,1,1,"Smith, Mr. James Clinch",female,26.36,0,0,2668,6.8657,,S
96,0,1,"Sivola, Mr. Antti Wilhelm",female,50.12,0,1,CA. 2343,218.3205,A14,Q
97,0,3,"Simmons, Mr. John",male,47.66,0,0,7598,69.2816,,S
98,0,1,"Leader, Dr. Alice (Farnham)",male,15.72,0,0,110152,12.342,,S
