PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,3,"Pavlovic, Mr. Stefo",female,28.02,0,0,2659,0.0,,S
1,0,3,"Renouf, Mr. Peter Henry",female,,0,0,347068,18.7357,,C
2,0,1,"Gallagher, Mr. Martin",male,,1,0,367230,1.7792,,C
3,0,3,"Minahan, Miss. Daisy E",female,,4,0,2659,5.6801,C23 C25 C27,S
4,0,3,"Van der hoef, Mr. Wyckoff",female,31.04,1,0,19996,16.3915,,S
5,1,3,"Theobald, Mr. Thomas Leonard",female,28.09,0,0,STON/O 2. 3101274,5.0549,,S
6,0,3,"Hagland, Mr. Ingvald Olai Olsen",female,,0,2,19947,83.5179,,S
7,0,3,"Mamee, Mr. Hanna",female,,1,0,349241,15.6525,,C
8,0,2,"White, Mr. Percival Wayland",male,,0,0,349224,2.5872,,Q
9,0,3,"Bourke, Miss. Mary",female,,0,0,2628,121.0228,,C
10,1,2,"Bateman, Rev. Robert James",male,28.01,1,0,A/4 45380,8.0519,,S
11,0,3,"Shelley, Mrs. William (Imanita Parrish Hall)",male,29.08,0,0,S.O.C. 14879,8.1187,C23 C25 C27,C
12,0,1,"Hansen, Mr. Henry Damsgaard",male,,3,0,PC 17608,219.3632,,C
13,0,3,"Duran y More, Miss. Asuncion",female,,0,0,230080,0.0,,S
14,0,3,"Flynn, Mr. James",female,,1,0,CA. 2343,287.3201,C23 C25 C27,C
15,1,2,"Vovk, Mr. Janko",male,30.96,1,0,250649,9.4111,C23 C25 C27,S
16,1,3,"Saalfeld, Mr. Adolphe",male,,1,0,350036,7.0597,C23 C25 C27,C
17,1,3,"Nilsson, Miss. Helmina Josefina",male,32.93,0,0,C.A. 5547,76.5676,C23 C25 C27,S
18,0,3,"Abbing, Mr. Anthony",male,29.84,0,0,372622,50.021,,S
19,0,3,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",male,,1,0,392096,18.424,,S
20,0,3,"Hoyt, Mr. Frederick Maxfield",female,,1,0,A/5 3536,14.4886,,Q
21,1,3,"Herman, Miss. Alice",male,,0,0,348124,11.8577,,C
22,0,2,"Maisner, Mr. Simon",male,,0,0,PC 17608,0.0,C23 C25 C27,C
23,1,3,"Hegarty, Miss. Hanora ""Nora""",female,,0,0,13502,22.7582,C23 C25 C27,Q
24,0,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,,0,0,345774,4.7749,C23 C25 C27,C
25,1,1,"Barbara, Miss. Saiide",female,28.7,0,0,PC 17757,16.3874,,S
26,0,3,"Hansen, Mr. Henry Damsgaard",female,,0,0,2651,10.3947,C23 C25 C27,S
27,1,3,"Boulos, Mr. Hanna",female,,1,0,STON/O 2. 3101293,9.6421,E12,S
28,0,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",male,,0,0,1601,17.6397,C23 C25 C27,C
29,0,3,"Anderson, Mr. Harry",male,,0,0,112053,6.0457,,S
30,0,3,"Cleaver, Miss. Alice",male,,0,0,28134,15.2568,,S
31,0,3,"Paulner, Mr. Uscher",female,75.98,1,0,C.A. 34651,2.0546,,S
32,0,3,"Johnston, Mr. Andrew G",female,,0,0,C.A. 33111,30.8024,C23 C25 C27,S
33,0,3,"Palsson, Miss. Stina Viola",male,24.94,1,0,112053,15.6128,,S
