PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,"Pain, Dr. Alfred",male,29.12,1,2,347082,66.695,,S
1,1,1,"Harper, Mr. Henry Sleeper",male,23.29,0,0,349909,124.2768,E101,S
2,0,3,"Abelson, Mr. Samuel",male,32.32,1,0,CA. 2343,53.0959,,S
3,1,2,"Nasser, Mr. Nicholas",male,34.08,1,0,CA. 2343,50.2944,,S
4,1,3,"Ibrahim Shawah, Mr. Yousseff",male,21.95,0,1,2685,79.4423,,S
5,0,2,"Windelov, Mr. Einar",male,26.64,0,1,110152,6.4882,,S
6,0,3,"McCoy, Miss. Agnes",male,29.39,0,0,347088,0.0,,Q
7,0,1,"West, Mr. Edwy Arthur",male,37.91,2,0,CA. 2343,124.2915,,S
8,0,2,"Brown, Mr. Thomas William Solomon",male,29.53,0,0,3101295,10.0573,,S
9,0,2,"Hosono, Mr. Masabumi",male,46.86,0,0,CA. 2343,46.9742,,Q
10,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",male,35.35,0,0,370365,0.0,,S
11,0,2,"Andersson, Miss. Ingeborg Constanzia",male,58.51,1,0,CA. 2343,133.3373,,S
12,0,1,"Downton, Mr. William James",male,37.22,2,0,CA. 2343,72.5933,F2,S
13,0,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",male,20.16,0,0,29106,0.0,,S
14,0,2,"Smith, Mr. Thomas",male,23.51,0,0,384461,0.0,,Q
15,0,3,"Lemore, Mrs. (Amelia Milley)",male,26.91,1,1,347082,0.0,,S
16,0,2,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",male,25.78,1,0,3101295,36.9187,,S
17,0,3,"Bostandyeff, Mr. Guentcho",male,25.5,0,1,113760,0.0,,S
18,0,2,"Wick, Miss. Mary Natalie",male,22.18,2,1,113776,75.5602,,S
19,0,1,"Gilinski, Mr. Eliezer",male,13.35,1,1,244367,112.3272,,S
20,1,2,"McCormack, Mr. Thomas Joseph",male,11.24,1,2,CA 2144,109.528,,S
21,1,2,"Murphy, Miss. Katherine ""Kate""",female,36.03,1,1,113776,41.227,,S
22,1,3,"Foreman, Mr. Benjamin Laventall",male,16.25,0,0,349909,0.0,,S
23,0,2,"Van der hoef, Mr. Wyckoff",male,31.74,0,0,PC 17757,50.9649,,S
24,0,2,"Hickman, Mr. Leonard Mark",male,39.81,4,1,CA. 2343,35.1619,,S
25,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,15.44,1,1,17421,29.9703,,S
26,0,3,"Backstrom, Mr. Karl Alfred",male,26.0,1,0,SC/Paris 2123,46.95,,S
27,0,2,"Leinonen, Mr. Antti Gustaf",male,25.68,2,1,382652,9.6969,,S
28,0,1,"Clifford, Mr. George Quincy",male,39.39,0,0,113781,76.8716,,S
29,0,3,"Andersson, Miss. Ebba Iris Alfrida",male,8.54,0,0,347082,6.4154,,S
30,0,2,"Danbom, Mr. Ernst Gilbert",male,36.77,2,1,382652,14.7475,,S
31,0,2,"Williams, Mr. Leslie",male,9.43,1,1,113760,94.6374,,S
32,1,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",male,33.64,1,2,PC 17582,77.7502,,Q
33,0,3,"Rogers, Mr. William John",male,12.69,0,0,F.C.C. 13529,89.6256,,S
34,0,1,"Carbines, Mr. William",male,21.26,2,0,17421,84.0431,,S
35,0,2,"Heininen, Miss. Wendla Maria",male,28.43,0,1,110152,28.8679,,S
36,1,1,"Hamalainen, Master. Viljo",male,25.32,0,0,CA. 2343,64.2338,,S
37,1,2,"Cavendish, Mr. Tyrell William",male,42.66,1,1,244367,41.1416,,S
38,1,1,"Moss, Mr. Albert Johan",male,30.02,0,0,1601,105.7041,E101,S
39,0,3,"Nicholls, Mr. Joseph Charles",male,36.94,0,0,CA 2144,0.0,,S
40,0,1,"Quick, Mrs. Frederick Charles (Jane Richards)",male,44.6,0,0,CA. 2343,31.7704,,S
41,0,2,"Harris, Mr. Henry Birkhardt",male,14.72,0,0,S.O.C. 14879,11.3007,,Q
42,0,3,"Hosono, Mr. Masabumi",male,32.33,2,1,347082,26.9424,,Q
43,0,3,"Bishop, Mrs. Dickinson H (Helen Walton)",male,21.53,2,1,CA. 2343,1.9163,,Q
44,0,3,"Olsvigen, Mr. Thor Anderson",male,24.55,1,0,4133,0.8681,,Q
45,1,3,"Allen, Mr. William Henry",male,13.13,1,1,CA 2144,0.0,,S
46,0,2,"Givard, Mr. Hans Kristensen",male,32.09,1,1,113760,85.4805,B96 B98,S
47,1,2,"Roebling, Mr. Washington Augustus II",male,32.72,1,0,PC 17590,75.0061,,S
48,0,3,"Elias, Mr. Tannous",male,25.99,1,0,CA. 2343,32.2553,,S
49,1,3,"Cohen, Mr. Gurshon ""Gus""",male,0.42,0,0,PC 17593,41.0538,,S
50,1,3,"Coleff, Mr. Peju",male,21.55,1,1,W./C. 6608,68.6524,,S
51,1,3,"Nye, Mrs. (Elizabeth Ramell)",male,23.99,0,2,A/4 48871,0.0,,S
52,1,2,"Larsson, Mr. August Viktor",male,32.82,0,1,7545,0.0,,S
53,0,2,"Molson, Mr. Harry Markland",male,42.27,2,0,S.O.C. 14879,22.9414,,Q
54,0,2,"Staneff, Mr. Ivan",male,22.89,0,0,19950,53.0483,,S
55,1,3,"Braund, Mr. Lewis Richard",male,44.33,2,1,110413,8.06,,S
56,1,1,"Novel, Mr. Mansouer",male,43.15,0,0,26360,116.3788,,S
57,1,3,"Olsen, Mr. Ole Martin",female,42.33,0,1,382652,0.0,,S
58,0,2,"Vander Cruyssen, Mr. Victor",male,32.76,1,0,CA. 2343,36.3664,,S
59,0,3,"Leonard, Mr. Lionel",male,19.73,1,1,11668,58.8606,,S
60,1,1,"Gustafsson, Mr. Johan Birger",male,21.91,1,0,1601,103.4158,,S
61,1,3,"Lam, Mr. Ali",male,25.77,0,0,110152,0.0,,S
62,1,3,"Tikkanen, Mr. Juho",male,19.31,1,0,3101295,62.3235,,
63,1,3,"Christmann, Mr. Emil",female,26.36,2,0,CA. 2343,33.7235,,S
64,1,2,"Harrington, Mr. Charles H",male,20.41,1,0,1601,98.3738,,S
65,1,2,"Gavey, Mr. Lawrence",male,34.84,1,0,S.O.C. 14879,18.1531,,S
66,1,1,"Yousif, Mr. Wazli",male,34.76,1,1,13502,31.6089,,S
67,0,3,"Widegren, Mr. Carl/Charles Peter",male,19.97,3,1,3101295,26.3023,,S
68,1,2,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",male,23.81,1,1,347742,0.0,,S
