PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,3.71,1,1,230080,29.5376,,S
1,0,1,"Andrews, Mr. Thomas Jr",male,29.44,0,0,1601,25.8068,,S
2,0,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",male,18.79,0,0,S.O.C. 14879,11.3558,,S
3,0,2,"Turpin, Mr. William John Robert",male,29.72,0,0,2666,16.2174,,S
4,0,3,"Williams, Mr. Leslie",male,16.21,0,0,54636,10.9205,,S
5,0,3,"Elsbury, Mr. William James",male,18.28,0,0,1601,5.5702,,S
6,1,2,"Herman, Miss. Alice",female,12.06,0,0,230080,36.0673,,S
7,1,2,"Blackwell, Mr. Stephen Weart",male,41.14,0,0,S.O.C. 14879,21.1604,,S
8,0,3,"Berglund, Mr. Karl Ivar Sven",male,15.53,0,0,345767,7.2223,,S
9,0,2,"McKane, Mr. Peter David",male,25.0,0,0,S.O.C. 14879,7.7692,,S
10,0,2,"Johnson, Mr. Alfred",male,28.87,0,0,LINE,6.616,,S
11,0,1,"Van der hoef, Mr. Wyckoff",male,63.38,0,0,S.O.C. 14879,28.9863,,S
12,0,2,"Collyer, Mr. Harvey",male,34.65,0,0,2908,27.264,,S
13,0,3,"Moen, Mr. Sigurd Hansen",male,,0,0,370365,10.0788,,S
14,0,3,"McEvoy, Mr. Michael",male,,0,0,36568,10.0703,,S
15,0,3,"Renouf, Mr. Peter Henry",male,30.22,0,0,1601,28.3552,,S
16,0,3,"Ling, Mr. Lee",male,28.65,0,0,1601,4.3229,,S
17,0,2,"Tobin, Mr. Roger",male,,0,0,371110,4.8249,,S
18,0,3,"Moran, Mr. Daniel J",male,29.23,0,0,1601,6.6395,,S
19,1,3,"Moubarek, Master. Halim Gonios (""William George"")",female,28.27,0,0,2661,12.425,,S
20,0,1,"Calderhead, Mr. Edward Pennington",male,51.17,0,0,35281,19.2198,,S
21,0,3,"Harknett, Miss. Alice Phoebe",male,,0,0,371110,6.7568,,S
22,0,2,"Troupiansky, Mr. Moses Aaron",male,23.25,0,0,250647,16.9312,,S
23,0,3,"Lobb, Mr. William Arthur",female,20.34,0,0,2691,11.5679,,S
24,0,3,"Nysten, Miss. Anna Sofia",male,29.28,0,0,358585,7.1642,,S
